seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage
1,simon,3,test,15000,0.9989333333333332,0.9999117422222222,1.0,0.9978666666666668,0.4989333333333333
1,simon,4,test,15000,0.9946,0.9991318133333336,0.9982666666666666,0.9909333333333332,0.4946
1,simon,5,test,15000,0.9144,0.9690716088888888,0.9637333333333332,0.8650666666666667,0.4144
1,simon,6,test,15000,0.6808666666666666,0.75080304,0.6282666666666666,0.7334666666666667,0.1808666666666666
1,simon,7,test,15000,0.5556,0.5821009777777778,0.6929333333333333,0.4182666666666667,0.0555999999999999
1,simon,8,test,15000,0.4992666666666667,0.5043607644444444,0.0778666666666666,0.9206666666666666,0.0007333333333333
1,simon,9,test,15000,0.5023333333333333,0.5056561688888889,0.1713333333333333,0.8333333333333334,0.0023333333333332
1,simon,10,test,15000,0.4964,0.4983025866666666,0.6170666666666667,0.3757333333333333,0.0035999999999999
2,simon,3,test,15000,0.9994666666666666,0.9999990044444445,1.0,0.9989333333333332,0.4994666666666666
2,simon,4,test,15000,0.9951333333333332,0.9989162577777778,0.9989333333333332,0.9913333333333332,0.4951333333333333
2,simon,5,test,15000,0.9107333333333332,0.9712713511111112,0.9114666666666666,0.91,0.4107333333333333
2,simon,6,test,15000,0.6781333333333334,0.7565054844444445,0.7253333333333334,0.6309333333333333,0.1781333333333333
2,simon,7,test,15000,0.5392,0.570258311111111,0.7505333333333334,0.3278666666666666,0.0392
2,simon,8,test,15000,0.5000666666666667,0.50410312,0.7886666666666666,0.2114666666666666,6.666666666665932e-05
2,simon,9,test,15000,0.4922666666666667,0.4918832888888889,0.5441333333333334,0.4404,0.0077333333333333
2,simon,10,test,15000,0.502,0.5053651555555555,0.6916,0.3124,0.002
3,simon,3,test,15000,0.9988666666666668,0.9999421244444444,1.0,0.9977333333333334,0.4988666666666667
3,simon,4,test,15000,0.9924,0.9988957066666666,0.9982666666666666,0.9865333333333334,0.4923999999999999
3,simon,5,test,15000,0.9136666666666666,0.9682065066666669,0.9574666666666668,0.8698666666666667,0.4136666666666666
3,simon,6,test,15000,0.6768,0.7553215377777778,0.7393333333333333,0.6142666666666666,0.1767999999999999
3,simon,7,test,15000,0.5648666666666666,0.5907595822222222,0.6636,0.4661333333333333,0.0648666666666666
3,simon,8,test,15000,0.5070666666666667,0.5100006311111112,0.5973333333333334,0.4168,0.0070666666666666
3,simon,9,test,15000,0.4999333333333333,0.4914247199999999,0.9690666666666666,0.0308,6.666666666665932e-05
3,simon,10,test,15000,0.5038666666666667,0.5045099111111111,0.4714666666666666,0.5362666666666667,0.0038666666666666
4,simon,3,test,15000,0.9996,0.9999999288888888,1.0,0.9992,0.4996
4,simon,4,test,15000,0.9942,0.9988750488888888,0.9969333333333332,0.9914666666666668,0.4942
4,simon,5,test,15000,0.9154666666666668,0.9695552444444444,0.9753333333333334,0.8556,0.4154666666666666
4,simon,6,test,15000,0.6761333333333334,0.7578905333333333,0.7422666666666666,0.61,0.1761333333333333
4,simon,7,test,15000,0.5576,0.5814354488888889,0.3732,0.742,0.0575999999999999
4,simon,8,test,15000,0.4958,0.5003732088888889,0.4164,0.5752,0.0041999999999999
4,simon,9,test,15000,0.4975333333333333,0.4992087377777777,0.7096,0.2854666666666666,0.0024666666666666
4,simon,10,test,15000,0.5018666666666667,0.5035462133333334,0.2096,0.7941333333333334,0.0018666666666666
5,simon,3,test,15000,0.9965333333333334,0.9999996444444444,1.0,0.9930666666666668,0.4965333333333334
5,simon,4,test,15000,0.9945333333333334,0.99921672,0.9977333333333334,0.9913333333333332,0.4945333333333334
5,simon,5,test,15000,0.9217333333333332,0.97192568,0.9514666666666668,0.892,0.4217333333333333
