seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,accuracy_advantage,advantage_edge,auc_advantage,accuracy_null_p_value,youden_j
1,simon,3,test,15000,0.9994,0.99999728,0.9993333333333333,0.9994666666666666,0.49939999999999996,0.9987999999999999,0.99999456,0.0,0.9987999999999999
1,simon,4,test,15000,0.9939333333333333,0.998770711111111,0.9978666666666667,0.99,0.49393333333333334,0.9878666666666667,0.9975414222222221,0.0,0.9878666666666667
1,simon,5,test,15000,0.9232,0.9720013866666666,0.978,0.8684,0.4232,0.8464,0.9440027733333332,0.0,0.8464
1,simon,6,test,15000,0.6736,0.7520892177777778,0.6525333333333333,0.6946666666666667,0.17359999999999998,0.34719999999999995,0.5041784355555556,0.0,0.34719999999999995
1,simon,7,test,15000,0.5680666666666667,0.58508096,0.5674666666666667,0.5686666666666667,0.06806666666666672,0.13613333333333344,0.17016191999999997,1.5371572426309607e-62,0.13613333333333344
1,simon,8,test,15000,0.49806666666666666,0.5000372444444444,0.362,0.6341333333333333,-0.0019333333333333425,-0.003866666666666685,7.448888888883509e-05,0.6416443000548142,-0.003866666666666685
1,simon,9,test,15000,0.5037333333333334,0.5010114222222223,0.5284,0.47906666666666664,0.0037333333333333663,0.0074666666666667325,0.0020228444444445604,0.364771632587926,0.0074666666666667325
1,simon,10,test,15000,0.5001333333333333,0.5008385688888888,0.5185333333333333,0.48173333333333335,0.00013333333333331865,0.0002666666666666373,0.0016771377777775598,0.9804579622490002,0.0002666666666666373
2,simon,3,test,15000,0.9998666666666667,1.0,0.9997333333333334,1.0,0.4998666666666667,0.9997333333333334,1.0,0.0,0.9997333333333334
2,simon,4,test,15000,0.9949333333333333,0.9987024622222223,0.9992,0.9906666666666667,0.49493333333333334,0.9898666666666667,0.9974049244444445,0.0,0.9898666666666667
2,simon,5,test,15000,0.9179333333333334,0.969489431111111,0.9644,0.8714666666666666,0.4179333333333334,0.8358666666666668,0.9389788622222219,0.0,0.8358666666666665
2,simon,6,test,15000,0.6761333333333334,0.7524974222222224,0.6492,0.7030666666666666,0.17613333333333336,0.35226666666666673,0.5049948444444448,0.0,0.3522666666666665
2,simon,7,test,15000,0.5602666666666667,0.5814174222222223,0.6369333333333334,0.4836,0.06026666666666669,0.12053333333333338,0.16283484444444452,2.221989319795769e-49,0.12053333333333338
2,simon,8,test,15000,0.5044,0.5050302844444445,0.7572,0.2516,0.0043999999999999595,0.008799999999999919,0.010060568888889065,0.2847942721898031,0.008799999999999919
2,simon,9,test,15000,0.49773333333333336,0.5013166488888889,0.6478666666666667,0.3476,-0.002266666666666639,-0.004533333333333278,0.0026332977777778765,0.5843439837719742,-0.004533333333333278
2,simon,10,test,15000,0.4964,0.49727170666666665,0.2616,0.7312,-0.003599999999999992,-0.007199999999999984,-0.005456586666666707,0.3823087833285887,-0.007200000000000095
3,simon,3,test,15000,0.9996666666666667,0.9999061777777778,0.9996,0.9997333333333334,0.4996666666666667,0.9993333333333334,0.9998123555555556,0.0,0.9993333333333334
3,simon,4,test,15000,0.9941333333333333,0.9987523911111111,0.9978666666666667,0.9904,0.4941333333333333,0.9882666666666666,0.9975047822222223,0.0,0.9882666666666666
3,simon,5,test,15000,0.9192,0.9699197333333335,0.9638666666666666,0.8745333333333334,0.4192,0.8384,0.939839466666667,0.0,0.8384
3,simon,6,test,15000,0.6794666666666667,0.7565332,0.6469333333333334,0.712,0.17946666666666666,0.3589333333333333,0.5130664,0.0,0.3589333333333333
3,simon,7,test,15000,0.5549333333333333,0.5721371911111112,0.4684,0.6414666666666666,0.05493333333333328,0.10986666666666656,0.14427438222222233,2.646091471923565e-41,0.10986666666666656
3,simon,8,test,15000,0.4968666666666667,0.5019985066666667,0.6830666666666667,0.31066666666666665,-0.0031333333333333213,-0.006266666666666643,0.003997013333333355,0.44764917521796094,-0.006266666666666643
3,simon,9,test,15000,0.5009333333333333,0.4994729866666667,0.18733333333333332,0.8145333333333333,0.0009333333333333416,0.0018666666666666831,-0.001054026666666652,0.8255184413985822,0.0018666666666666831
3,simon,10,test,15000,0.5000666666666667,0.4966840355555555,0.28213333333333335,0.718,6.666666666665932e-05,0.00013333333333331865,-0.006631928888888972,0.9934854084187253,0.00013333333333331865
4,simon,3,test,15000,0.9994666666666666,0.9999252444444444,0.9996,0.9993333333333333,0.4994666666666666,0.9989333333333332,0.9998504888888888,0.0,0.9989333333333335
4,simon,4,test,15000,0.9944666666666667,0.9988335199999999,0.9976,0.9913333333333333,0.4944666666666667,0.9889333333333334,0.9976670399999998,0.0,0.9889333333333332
4,simon,5,test,15000,0.9162666666666667,0.9697284266666666,0.9785333333333334,0.854,0.4162666666666667,0.8325333333333333,0.9394568533333332,0.0,0.8325333333333333
4,simon,6,test,15000,0.6806,0.75671328,0.622,0.7392,0.18059999999999998,0.36119999999999997,0.5134265600000001,0.0,0.36119999999999997
4,simon,7,test,15000,0.5636666666666666,0.5828205866666667,0.5721333333333334,0.5552,0.06366666666666665,0.1273333333333333,0.1656411733333334,6.422462989892858e-55,0.12733333333333352
4,simon,8,test,15000,0.501,0.4967461777777778,0.2764,0.7256,0.0010000000000000009,0.0020000000000000018,-0.006507644444444405,0.8128253216596147,0.0020000000000000018
4,simon,9,test,15000,0.5028,0.4971784355555555,0.9093333333333333,0.09626666666666667,0.0028000000000000247,0.005600000000000049,-0.00564312888888896,0.4979681883270534,0.005600000000000049
4,simon,10,test,15000,0.5052,0.5010959377777777,0.3236,0.6868,0.005199999999999982,0.010399999999999965,0.0021918755555554448,0.20566566442214335,0.010399999999999965
5,simon,3,test,15000,0.9995333333333334,0.9999993955555556,0.9993333333333333,0.9997333333333334,0.4995333333333334,0.9990666666666668,0.9999987911111112,0.0,0.9990666666666668
5,simon,4,test,15000,0.9942666666666666,0.9990136088888889,0.9973333333333333,0.9912,0.49426666666666663,0.9885333333333333,0.9980272177777778,0.0,0.9885333333333333
5,simon,5,test,15000,0.9157333333333333,0.9694715466666666,0.9609333333333333,0.8705333333333334,0.4157333333333333,0.8314666666666666,0.9389430933333331,0.0,0.8314666666666666
5,simon,6,test,15000,0.6753333333333333,0.7465409066666666,0.6244,0.7262666666666666,0.17533333333333334,0.3506666666666667,0.49308181333333323,0.0,0.3506666666666667
5,simon,7,test,15000,0.5664666666666667,0.5812284622222222,0.5582666666666667,0.5746666666666667,0.06646666666666667,0.13293333333333335,0.16245692444444448,1.0403326054262568e-59,0.13293333333333335
5,simon,8,test,15000,0.5005333333333334,0.4998564088888889,0.6336,0.36746666666666666,0.0005333333333333856,0.0010666666666667712,-0.00028718222222223755,0.9025237809817047,0.0010666666666667712
5,simon,9,test,15000,0.4948666666666667,0.4976770933333334,0.6048,0.38493333333333335,-0.005133333333333323,-0.010266666666666646,-0.0046458133333332485,0.2115759679077742,-0.010266666666666646
