seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage_abs,advantage_edge,youden_j
1,simon,3,test,15000,0.9982666666666666,0.9999942577777778,1.0,0.9965333333333334,0.49826666666666664,0.9965333333333333,0.9965333333333333
1,simon,4,test,15000,0.9952666666666666,0.9994968711111111,1.0,0.9905333333333334,0.49526666666666663,0.9905333333333333,0.9905333333333335
1,simon,5,test,15000,0.9212666666666667,0.9775504,0.9809333333333333,0.8616,0.4212666666666667,0.8425333333333334,0.8425333333333334
1,simon,6,test,15000,0.665,0.7618644711111111,0.7964,0.5336,0.16500000000000004,0.33000000000000007,0.33000000000000007
1,simon,7,test,15000,0.5451333333333334,0.56549888,0.544,0.5462666666666667,0.04513333333333336,0.09026666666666672,0.09026666666666672
1,simon,8,test,15000,0.5092666666666666,0.5162803111111111,0.5206666666666667,0.4978666666666667,0.009266666666666645,0.01853333333333329,0.018533333333333513
1,simon,9,test,15000,0.5036,0.4994619733333333,0.9158666666666667,0.09133333333333334,0.0036000000000000476,0.007200000000000095,0.007200000000000095
1,simon,10,test,15000,0.49853333333333333,0.4987681866666666,0.574,0.42306666666666665,0.0014666666666666717,0.0029333333333333433,-0.0029333333333334544
2,simon,3,test,15000,0.9998,0.9999997511111111,1.0,0.9996,0.4998,0.9996,0.9996
2,simon,4,test,15000,0.9966,0.9995154222222223,1.0,0.9932,0.49660000000000004,0.9932000000000001,0.9931999999999999
2,simon,5,test,15000,0.9265333333333333,0.977638008888889,0.9766666666666667,0.8764,0.4265333333333333,0.8530666666666666,0.8530666666666666
2,simon,6,test,15000,0.6868666666666666,0.7636091288888889,0.7029333333333333,0.6708,0.18686666666666663,0.37373333333333325,0.37373333333333325
2,simon,7,test,15000,0.5473333333333333,0.5795736622222223,0.6722666666666667,0.4224,0.04733333333333334,0.09466666666666668,0.09466666666666668
2,simon,8,test,15000,0.5112,0.5200287377777778,0.2697333333333333,0.7526666666666667,0.011199999999999988,0.022399999999999975,0.022399999999999975
2,simon,9,test,15000,0.5000666666666667,0.49696423999999995,0.5617333333333333,0.4384,6.666666666665932e-05,0.00013333333333331865,0.00013333333333331865
2,simon,10,test,15000,0.5002666666666666,0.5053752444444445,0.0054666666666666665,0.9950666666666667,0.0002666666666666373,0.0005333333333332746,0.0005333333333332746
3,simon,3,test,15000,0.9995333333333334,0.9999998400000001,1.0,0.9990666666666667,0.4995333333333334,0.9990666666666668,0.9990666666666668
3,simon,4,test,15000,0.9936,0.9993183022222223,0.9998666666666667,0.9873333333333333,0.49360000000000004,0.9872000000000001,0.9872000000000001
3,simon,5,test,15000,0.9293333333333333,0.9787129244444445,0.9629333333333333,0.8957333333333334,0.42933333333333334,0.8586666666666667,0.8586666666666667
3,simon,6,test,15000,0.6868,0.7595557244444445,0.7048,0.6688,0.18679999999999997,0.37359999999999993,0.37359999999999993
3,simon,7,test,15000,0.5592666666666667,0.5950778666666666,0.6570666666666667,0.4614666666666667,0.05926666666666669,0.11853333333333338,0.11853333333333338
3,simon,8,test,15000,0.5102,0.5157810844444445,0.832,0.1884,0.010199999999999987,0.020399999999999974,0.020399999999999974
3,simon,9,test,15000,0.49766666666666665,0.4981061688888889,0.8650666666666667,0.13026666666666667,0.002333333333333354,0.004666666666666708,-0.004666666666666708
3,simon,10,test,15000,0.49546666666666667,0.4991708088888889,0.6493333333333333,0.3416,0.004533333333333334,0.009066666666666667,-0.009066666666666667
4,simon,3,test,15000,0.9997333333333334,1.0,1.0,0.9994666666666666,0.49973333333333336,0.9994666666666667,0.9994666666666667
4,simon,4,test,15000,0.9968,0.9995916088888889,0.9997333333333334,0.9938666666666667,0.4968,0.9936,0.9936
4,simon,5,test,15000,0.927,0.976351031111111,0.958,0.896,0.42700000000000005,0.8540000000000001,0.8540000000000001
4,simon,6,test,15000,0.6904666666666667,0.7675837600000001,0.7208,0.6601333333333333,0.19046666666666667,0.38093333333333335,0.38093333333333335
4,simon,7,test,15000,0.5517333333333333,0.5741722577777777,0.32093333333333335,0.7825333333333333,0.0517333333333333,0.1034666666666666,0.1034666666666666
4,simon,8,test,15000,0.5100666666666667,0.5155839466666666,0.6173333333333333,0.4028,0.010066666666666668,0.020133333333333336,0.020133333333333336
4,simon,9,test,15000,0.49866666666666665,0.5000462488888889,0.015866666666666668,0.9814666666666667,0.001333333333333353,0.002666666666666706,-0.002666666666666595
4,simon,10,test,15000,0.502,0.5052782222222223,0.24773333333333333,0.7562666666666666,0.0020000000000000018,0.0040000000000000036,0.0040000000000000036
5,simon,3,test,15000,0.9990666666666667,0.9999202844444445,1.0,0.9981333333333333,0.49906666666666666,0.9981333333333333,0.9981333333333333
5,simon,4,test,15000,0.9918,0.9991303644444444,0.9876,0.996,0.4918,0.9836,0.9836
5,simon,5,test,15000,0.9233333333333333,0.9758000622222222,0.9494666666666667,0.8972,0.42333333333333334,0.8466666666666667,0.8466666666666667
5,simon,6,test,15000,0.6936666666666667,0.7620265333333334,0.6362666666666666,0.7510666666666667,0.19366666666666665,0.3873333333333333,0.3873333333333333
5,simon,7,test,15000,0.5532,0.575117608888889,0.5816,0.5248,0.053200000000000025,0.10640000000000005,0.10640000000000005
5,simon,8,test,15000,0.515,0.5218983022222221,0.484,0.546,0.015000000000000013,0.030000000000000027,0.030000000000000027
5,simon,9,test,15000,0.5098666666666667,0.5128372977777778,0.8985333333333333,0.1212,0.00986666666666669,0.01973333333333338,0.01973333333333338
5,simon,10,test,15000,0.5068666666666667,0.5060486399999999,0.7970666666666667,0.21666666666666667,0.006866666666666688,0.013733333333333375,0.013733333333333375
6,simon,3,test,15000,0.9984,1.0,1.0,0.9968,0.49839999999999995,0.9967999999999999,0.9967999999999999
6,simon,4,test,15000,0.996,0.99959752,0.9985333333333334,0.9934666666666667,0.496,0.992,0.992
6,simon,5,test,15000,0.9259333333333334,0.9770526933333331,0.9490666666666666,0.9028,0.4259333333333334,0.8518666666666668,0.8518666666666665
6,simon,6,test,15000,0.6576,0.7604455999999999,0.8186666666666667,0.4965333333333333,0.15759999999999996,0.3151999999999999,0.3151999999999999
6,simon,7,test,15000,0.5539333333333334,0.5776938755555555,0.5709333333333333,0.5369333333333334,0.05393333333333339,0.10786666666666678,0.10786666666666678
6,simon,8,test,15000,0.5077333333333334,0.5102859111111111,0.5638666666666666,0.4516,0.00773333333333337,0.01546666666666674,0.01546666666666674
6,simon,9,test,15000,0.5012,0.5019009600000001,0.37093333333333334,0.6314666666666666,0.0011999999999999789,0.0023999999999999577,0.0023999999999999577
6,simon,10,test,15000,0.4988,0.4998246311111111,0.13826666666666668,0.8593333333333333,0.0011999999999999789,0.0023999999999999577,-0.0024000000000000687
7,simon,3,test,15000,0.9991333333333333,0.99998448,1.0,0.9982666666666666,0.4991333333333333,0.9982666666666666,0.9982666666666666
7,simon,4,test,15000,0.9960666666666667,0.999680568888889,0.9986666666666667,0.9934666666666667,0.49606666666666666,0.9921333333333333,0.9921333333333333
7,simon,5,test,15000,0.9282,0.9768912977777778,0.9392,0.9172,0.4282,0.8564,0.8564
7,simon,6,test,15000,0.6751333333333334,0.7668562222222223,0.7696,0.5806666666666667,0.17513333333333336,0.3502666666666667,0.3502666666666667
7,simon,7,test,15000,0.5327333333333333,0.57931072,0.8033333333333333,0.26213333333333333,0.03273333333333328,0.06546666666666656,0.06546666666666656
7,simon,8,test,15000,0.5125333333333333,0.5199051822222223,0.5984,0.4266666666666667,0.012533333333333285,0.02506666666666657,0.025066666666666793
7,simon,9,test,15000,0.4972,0.5051425333333334,0.9278666666666666,0.06653333333333333,0.0028000000000000247,0.005600000000000049,-0.005600000000000049
7,simon,10,test,15000,0.5008666666666667,0.5011028799999999,0.12746666666666667,0.8742666666666666,0.0008666666666666822,0.0017333333333333645,0.0017333333333333645
8,simon,3,test,15000,0.9993333333333333,1.0,1.0,0.9986666666666667,0.4993333333333333,0.9986666666666666,0.9986666666666668
8,simon,4,test,15000,0.9942666666666666,0.99948936,0.9998666666666667,0.9886666666666667,0.49426666666666663,0.9885333333333333,0.9885333333333333
8,simon,5,test,15000,0.9253333333333333,0.9768302133333334,0.9206666666666666,0.93,0.42533333333333334,0.8506666666666667,0.8506666666666667
8,simon,6,test,15000,0.6811333333333334,0.761371848888889,0.5513333333333333,0.8109333333333333,0.18113333333333337,0.36226666666666674,0.36226666666666674
8,simon,7,test,15000,0.5474666666666667,0.5795688088888888,0.682,0.4129333333333333,0.04746666666666666,0.09493333333333331,0.09493333333333331
8,simon,8,test,15000,0.5115333333333333,0.5246642311111112,0.8229333333333333,0.20013333333333333,0.011533333333333284,0.02306666666666657,0.02306666666666657
8,simon,9,test,15000,0.4951333333333333,0.49666745777777777,0.3676,0.6226666666666667,0.004866666666666686,0.009733333333333372,-0.009733333333333372
8,simon,10,test,15000,0.49833333333333335,0.5003104355555555,0.6398666666666667,0.3568,0.0016666666666666496,0.0033333333333332993,-0.0033333333333332993
9,simon,3,test,15000,0.9988666666666667,0.9999968888888889,1.0,0.9977333333333334,0.4988666666666667,0.9977333333333334,0.9977333333333334
9,simon,4,test,15000,0.9963333333333333,0.9994718133333332,0.9997333333333334,0.9929333333333333,0.4963333333333333,0.9926666666666666,0.9926666666666666
9,simon,5,test,15000,0.9114666666666666,0.9758912977777777,0.8869333333333334,0.936,0.41146666666666665,0.8229333333333333,0.8229333333333333
9,simon,6,test,15000,0.6743333333333333,0.7647869333333334,0.7844,0.5642666666666667,0.17433333333333334,0.3486666666666667,0.3486666666666667
9,simon,7,test,15000,0.5710666666666666,0.5988553155555556,0.55,0.5921333333333333,0.07106666666666661,0.14213333333333322,0.14213333333333322
9,simon,8,test,15000,0.5088,0.5111787022222223,0.35026666666666667,0.6673333333333333,0.00880000000000003,0.01760000000000006,0.01760000000000006
9,simon,9,test,15000,0.5012666666666666,0.49953719111111106,0.6961333333333334,0.3064,0.0012666666666666382,0.0025333333333332764,0.0025333333333334984
9,simon,10,test,15000,0.4951333333333333,0.4947362311111111,0.4109333333333333,0.5793333333333334,0.004866666666666686,0.009733333333333372,-0.009733333333333372
10,simon,3,test,15000,0.9989333333333333,0.9999872888888889,1.0,0.9978666666666667,0.49893333333333334,0.9978666666666667,0.9978666666666667
10,simon,4,test,15000,0.9949333333333333,0.9994186666666667,0.9994666666666666,0.9904,0.49493333333333334,0.9898666666666667,0.9898666666666665
10,simon,5,test,15000,0.9182666666666667,0.9743947022222224,0.9773333333333334,0.8592,0.4182666666666667,0.8365333333333334,0.8365333333333334
10,simon,6,test,15000,0.6896,0.7627797688888889,0.6486666666666666,0.7305333333333334,0.1896,0.3792,0.3792
10,simon,7,test,15000,0.5474,0.5717116799999999,0.6216,0.4732,0.0474,0.0948,0.0948
10,simon,8,test,15000,0.5094,0.5138432977777778,0.5746666666666667,0.4441333333333333,0.009399999999999964,0.018799999999999928,0.018799999999999928
10,simon,9,test,15000,0.487,0.4869402044444444,0.5450666666666667,0.42893333333333333,0.013000000000000012,0.026000000000000023,-0.026000000000000023
10,simon,10,test,15000,0.4915333333333333,0.48906176,0.5870666666666666,0.396,0.008466666666666678,0.016933333333333356,-0.016933333333333356
