seed,cipher,rounds,split,n_samples,accuracy,auc_roc,tpr,tnr,advantage_abs,advantage_edge,youden_j
1,speck,3,test,15000,0.9963333333333333,0.9999074222222223,0.9981333333333333,0.9945333333333334,0.4963333333333333,0.9926666666666666,0.9926666666666666
1,speck,4,test,15000,0.9400666666666667,0.9815759199999999,0.94,0.9401333333333334,0.4400666666666667,0.8801333333333334,0.8801333333333332
1,speck,5,test,15000,0.8560666666666666,0.9103565422222223,0.8202666666666667,0.8918666666666667,0.35606666666666664,0.7121333333333333,0.7121333333333335
1,speck,6,test,15000,0.6779333333333334,0.7230779377777778,0.5257333333333334,0.8301333333333333,0.1779333333333334,0.3558666666666668,0.35586666666666655
1,speck,7,test,15000,0.49733333333333335,0.49929384888888895,0.35746666666666665,0.6372,0.0026666666666666505,0.005333333333333301,-0.005333333333333412
1,speck,8,test,15000,0.5003333333333333,0.5012130044444445,0.24626666666666666,0.7544,0.0003333333333332966,0.0006666666666665932,0.0006666666666665932
1,speck,9,test,15000,0.5047333333333334,0.5027539022222223,0.5488,0.46066666666666667,0.004733333333333367,0.009466666666666734,0.009466666666666512
1,speck,10,test,15000,0.5006,0.4988704977777778,0.3722666666666667,0.6289333333333333,0.0006000000000000449,0.0012000000000000899,0.0012000000000000899
2,speck,3,test,15000,0.9975333333333334,0.9999251022222222,0.9988,0.9962666666666666,0.4975333333333334,0.9950666666666668,0.9950666666666668
2,speck,4,test,15000,0.9406666666666667,0.9816356266666666,0.938,0.9433333333333334,0.44066666666666665,0.8813333333333333,0.8813333333333333
2,speck,5,test,15000,0.8573333333333333,0.9114579733333333,0.802,0.9126666666666666,0.3573333333333333,0.7146666666666666,0.7146666666666666
2,speck,6,test,15000,0.6529333333333334,0.7078860888888889,0.6374666666666666,0.6684,0.15293333333333337,0.30586666666666673,0.30586666666666673
2,speck,7,test,15000,0.5018,0.5023583022222222,0.5354666666666666,0.46813333333333335,0.0018000000000000238,0.0036000000000000476,0.0036000000000000476
2,speck,8,test,15000,0.5044,0.5019661422222222,0.7418666666666667,0.26693333333333336,0.0043999999999999595,0.008799999999999919,0.008799999999999919
2,speck,9,test,15000,0.48973333333333335,0.4884471733333333,0.6286666666666667,0.3508,0.010266666666666646,0.020533333333333292,-0.020533333333333292
2,speck,10,test,15000,0.5012,0.5018303822222222,0.3848,0.6176,0.0011999999999999789,0.0023999999999999577,0.0023999999999999577
3,speck,3,test,15000,0.9982,0.9999926755555555,0.9994666666666666,0.9969333333333333,0.4982,0.9964,0.9964
3,speck,4,test,15000,0.9442,0.979786711111111,0.9274666666666667,0.9609333333333333,0.44420000000000004,0.8884000000000001,0.8883999999999999
3,speck,5,test,15000,0.8481333333333333,0.9067888088888888,0.8301333333333333,0.8661333333333333,0.3481333333333333,0.6962666666666666,0.6962666666666666
3,speck,6,test,15000,0.6638,0.7048154222222223,0.5868,0.7408,0.16379999999999995,0.3275999999999999,0.3275999999999999
3,speck,7,test,15000,0.5046666666666667,0.5064792533333333,0.6196,0.3897333333333333,0.004666666666666708,0.009333333333333416,0.009333333333333416
3,speck,8,test,15000,0.49893333333333334,0.4991749688888889,0.9404,0.057466666666666666,0.0010666666666666602,0.0021333333333333204,-0.0021333333333333204
3,speck,9,test,15000,0.5044,0.5052117066666666,0.2864,0.7224,0.0043999999999999595,0.008799999999999919,0.008799999999999919
3,speck,10,test,15000,0.5002666666666666,0.5045797244444444,0.3332,0.6673333333333333,0.0002666666666666373,0.0005333333333332746,0.0005333333333332746
4,speck,3,test,15000,0.998,0.99997648,1.0,0.996,0.498,0.996,0.996
4,speck,4,test,15000,0.9382666666666667,0.9764860266666666,0.9274666666666667,0.9490666666666666,0.4382666666666667,0.8765333333333334,0.8765333333333332
4,speck,5,test,15000,0.8536,0.9040510755555555,0.8149333333333333,0.8922666666666667,0.3536,0.7072,0.7071999999999998
4,speck,6,test,15000,0.6456666666666667,0.6966086044444445,0.6282666666666666,0.6630666666666667,0.14566666666666672,0.29133333333333344,0.2913333333333332
4,speck,7,test,15000,0.49793333333333334,0.4995952711111111,0.6625333333333333,0.3333333333333333,0.002066666666666661,0.004133333333333322,-0.004133333333333322
4,speck,8,test,15000,0.5018666666666667,0.4967430222222222,0.7265333333333334,0.2772,0.0018666666666666831,0.0037333333333333663,0.0037333333333333663
4,speck,9,test,15000,0.49893333333333334,0.49918624,0.10946666666666667,0.8884,0.0010666666666666602,0.0021333333333333204,-0.0021333333333333204
4,speck,10,test,15000,0.5034666666666666,0.5038839555555557,0.5034666666666666,0.5034666666666666,0.003466666666666618,0.006933333333333236,0.006933333333333236
5,speck,3,test,15000,0.9984666666666666,0.99999152,0.9984,0.9985333333333334,0.4984666666666666,0.9969333333333332,0.9969333333333332
5,speck,4,test,15000,0.9434,0.9810291644444445,0.9357333333333333,0.9510666666666666,0.4434,0.8868,0.8868
5,speck,5,test,15000,0.8522,0.9057788088888888,0.7990666666666667,0.9053333333333333,0.35219999999999996,0.7043999999999999,0.7044000000000001
5,speck,6,test,15000,0.6706,0.7138268888888889,0.54,0.8012,0.17059999999999997,0.34119999999999995,0.34120000000000017
5,speck,7,test,15000,0.49773333333333336,0.5026522755555555,0.5021333333333333,0.49333333333333335,0.002266666666666639,0.004533333333333278,-0.004533333333333278
5,speck,8,test,15000,0.5008,0.5008467999999999,0.47733333333333333,0.5242666666666667,0.0008000000000000229,0.0016000000000000458,0.0016000000000000458
5,speck,9,test,15000,0.512,0.5151319111111111,0.5082666666666666,0.5157333333333334,0.01200000000000001,0.02400000000000002,0.02400000000000002
5,speck,10,test,15000,0.5016666666666667,0.5023676977777778,0.4832,0.5201333333333333,0.0016666666666667052,0.0033333333333334103,0.0033333333333334103
6,speck,3,test,15000,0.9945333333333334,0.9998875022222221,0.998,0.9910666666666667,0.4945333333333334,0.9890666666666668,0.9890666666666665
6,speck,4,test,15000,0.9417333333333333,0.9789110666666666,0.9204,0.9630666666666666,0.4417333333333333,0.8834666666666666,0.8834666666666666
6,speck,5,test,15000,0.8489333333333333,0.9053619555555555,0.84,0.8578666666666667,0.3489333333333333,0.6978666666666666,0.6978666666666666
6,speck,6,test,15000,0.6630666666666667,0.7068825955555555,0.5301333333333333,0.796,0.1630666666666667,0.3261333333333334,0.3261333333333334
6,speck,7,test,15000,0.4997333333333333,0.49897540444444444,0.7921333333333334,0.20733333333333334,0.0002666666666666928,0.0005333333333333856,-0.0005333333333332746
6,speck,8,test,15000,0.5003333333333333,0.4991670577777778,0.5976,0.4030666666666667,0.0003333333333332966,0.0006666666666665932,0.0006666666666665932
6,speck,9,test,15000,0.4962,0.49101136,0.22866666666666666,0.7637333333333334,0.0038000000000000256,0.007600000000000051,-0.00759999999999994
6,speck,10,test,15000,0.4976,0.4999019377777778,0.5589333333333333,0.4362666666666667,0.0024000000000000132,0.0048000000000000265,-0.0048000000000000265
7,speck,3,test,15000,0.9990666666666667,0.9999977955555556,0.9998666666666667,0.9982666666666666,0.49906666666666666,0.9981333333333333,0.9981333333333333
7,speck,4,test,15000,0.9402,0.9788366844444444,0.9374666666666667,0.9429333333333333,0.44020000000000004,0.8804000000000001,0.8803999999999998
7,speck,5,test,15000,0.8515333333333334,0.9054686844444444,0.8254666666666667,0.8776,0.35153333333333336,0.7030666666666667,0.7030666666666667
7,speck,6,test,15000,0.6694,0.7110816266666666,0.5445333333333333,0.7942666666666667,0.1694,0.3388,0.3388
7,speck,7,test,15000,0.4948,0.49884890666666665,0.2424,0.7472,0.005199999999999982,0.010399999999999965,-0.010399999999999965
7,speck,8,test,15000,0.5032666666666666,0.5009550577777777,0.7094666666666667,0.29706666666666665,0.00326666666666664,0.00653333333333328,0.00653333333333328
7,speck,9,test,15000,0.5004666666666666,0.5011119466666667,0.3194666666666667,0.6814666666666667,0.00046666666666661527,0.0009333333333332305,0.0009333333333332305
7,speck,10,test,15000,0.4982666666666667,0.49757403555555557,0.34413333333333335,0.6524,0.001733333333333309,0.003466666666666618,-0.003466666666666729
8,speck,3,test,15000,0.9981333333333333,0.9999390933333333,0.9992,0.9970666666666667,0.4981333333333333,0.9962666666666666,0.9962666666666666
8,speck,4,test,15000,0.9420666666666667,0.979352471111111,0.9348,0.9493333333333334,0.4420666666666667,0.8841333333333334,0.8841333333333332
8,speck,5,test,15000,0.8516666666666667,0.9072683111111111,0.8413333333333334,0.862,0.3516666666666667,0.7033333333333334,0.7033333333333334
8,speck,6,test,15000,0.6582666666666667,0.7085354311111112,0.4378666666666667,0.8786666666666667,0.15826666666666667,0.31653333333333333,0.31653333333333333
8,speck,7,test,15000,0.5048666666666667,0.5104388355555556,0.3836,0.6261333333333333,0.004866666666666686,0.009733333333333372,0.009733333333333372
8,speck,8,test,15000,0.49766666666666665,0.5018112533333333,0.5141333333333333,0.4812,0.002333333333333354,0.004666666666666708,-0.004666666666666597
8,speck,9,test,15000,0.4981333333333333,0.5007338488888888,0.0164,0.9798666666666667,0.0018666666666666831,0.0037333333333333663,-0.0037333333333333663
8,speck,10,test,15000,0.5018,0.5019909511111111,0.6444,0.3592,0.0018000000000000238,0.0036000000000000476,0.0036000000000000476
9,speck,3,test,15000,0.9982,0.9999905422222223,0.9998666666666667,0.9965333333333334,0.4982,0.9964,0.9964
9,speck,4,test,15000,0.9402,0.977914488888889,0.9324,0.948,0.44020000000000004,0.8804000000000001,0.8803999999999998
9,speck,5,test,15000,0.8452,0.9116648,0.7637333333333334,0.9266666666666666,0.34519999999999995,0.6903999999999999,0.6903999999999999
9,speck,6,test,15000,0.666,0.7152854844444444,0.6170666666666667,0.7149333333333333,0.16600000000000004,0.3320000000000001,0.33199999999999985
9,speck,7,test,15000,0.5004666666666666,0.5026675822222222,0.762,0.23893333333333333,0.00046666666666661527,0.0009333333333332305,0.0009333333333332305
9,speck,8,test,15000,0.5025333333333334,0.5046638133333332,0.7488,0.25626666666666664,0.0025333333333333874,0.005066666666666775,0.005066666666666553
9,speck,9,test,15000,0.49933333333333335,0.4981210222222222,0.96,0.03866666666666667,0.0006666666666666488,0.0013333333333332975,-0.0013333333333334085
9,speck,10,test,15000,0.5021333333333333,0.4970732,0.6614666666666666,0.3428,0.0021333333333333204,0.004266666666666641,0.004266666666666641
10,speck,3,test,15000,0.996,0.9999504177777778,0.9993333333333333,0.9926666666666667,0.496,0.992,0.992
10,speck,4,test,15000,0.9424,0.9811109777777779,0.9294666666666667,0.9553333333333334,0.4424,0.8848,0.8848
10,speck,5,test,15000,0.856,0.9066934222222223,0.8249333333333333,0.8870666666666667,0.356,0.712,0.712
10,speck,6,test,15000,0.6420666666666667,0.7122658666666667,0.7128,0.5713333333333334,0.14206666666666667,0.28413333333333335,0.28413333333333335
10,speck,7,test,15000,0.49533333333333335,0.4969856,0.40013333333333334,0.5905333333333334,0.004666666666666652,0.009333333333333305,-0.009333333333333305
10,speck,8,test,15000,0.5006,0.4976450666666667,0.8921333333333333,0.10906666666666667,0.0006000000000000449,0.0012000000000000899,0.0012000000000000899
10,speck,9,test,15000,0.4958666666666667,0.49694017777777777,0.7136,0.27813333333333334,0.004133333333333322,0.008266666666666644,-0.008266666666666644
10,speck,10,test,15000,0.49546666666666667,0.5008817955555556,0.6274666666666666,0.36346666666666666,0.004533333333333334,0.009066666666666667,-0.009066666666666778
